Run_s,collection_day_s,description_s,nutrition_calcium_s,nutrition_calorie_s,nutrition_carb_s,nutrition_cholesterol_s,nutrition_fat_s,nutrition_fiber_s,nutrition_protein_s,nutrition_satfat_s,nutrition_sodium_s,nutrition_sugar_s
ERR531667,9,-200,0,0,0,0,0,0,0,0,0,0
ERR531668,168,-101,540,2074.5,259.4000015,503,75.60000038,1.799999952,98.40000153,14.79999995,4029.5,115.3999996
ERR531669,337,-100,0,0,0,0,0,0,0,0,0,0
ERR531670,301,-101,0,0,0,0,0,0,0,0,0,0
ERR531671,18,-200,0,0,0,0,0,0,0,0,0,0
ERR531672,106,-101,0,0,0,0,0,0,0,0,0,0
ERR531673,269,-100,0,0,0,0,0,0,0,0,0,0
ERR531674,310,-101,0,0,0,0,0,0,0,0,0,0
ERR531675,47,-101,790.3759983,3331.392003,526.2315619,273,93.8389219,30.12840021,112.0285617,38.64244731,5585.396,250.7916403
ERR531676,232,-100,0,0,0,0,0,0,0,0,0,0
ERR531677,332,-100,0,0,0,0,0,0,0,0,0,0
ERR531678,11,-200,0,0,0,0,0,0,0,0,0,0
ERR531679,207,-101,0,0,0,0,0,0,0,0,0,0
ERR531680,127,-101,817.2040141,2271.057537,355.3778343,244.175952,63.28867469,47.91550045,94.98510027,26.40497,1629.64437,134.9660064
ERR531681,66,-200,0,0,0,0,0,0,0,0,0,0
ERR531682,291,-101,0,0,0,0,0,0,0,0,0,0
ERR531683,84,-100,0,0,0,0,0,0,0,0,0,0
ERR531684,339,-101,0,0,0,0,0,0,0,0,0,0
ERR531685,14,-100,1048.5,3162.590005,415.2726021,370.6399994,98.66300037,13.41199976,128.8152023,28.61288005,4818.440006,159.7969985
ERR531686,253,-100,0,0,0,0,0,0,0,0,0,0
ERR531687,329,-100,0,0,0,0,0,0,0,0,0,0
ERR531688,38,-101,504.5400196,2959.125062,423.1425407,258.1537914,107.5662533,22.98992118,97.66458097,35.3670775,6546.592272,113.0183218
ERR531689,5,-100,651.9949961,2867.537495,482.3457727,198.9674988,65.00524916,22.57599992,78.34952563,20.7955973,2327.97003,218.533299
ERR531690,40,-101,866.166501,1564.984276,236.9236736,69.54999924,46.86165941,20.38394999,60.20377332,9.428866692,2192.265249,170.6804247
